genre,year,likes
Action,2010,800928
Comedy,2010,661398
Drama,2010,1162047
Horror,2010,320139
Action,2011,1208323
Comedy,2011,961136
Drama,2011,1630666
Horror,2011,185272
Action,2012,1680698
Comedy,2012,1266031
Drama,2012,2574076
Horror,2012,600958
Action,2013,1951553
Comedy,2013,1296033
Drama,2013,2747086
Horror,2013,876398
Action,2014,2017736
Comedy,2014,1121963
Drama,2014,3001375
Horror,2014,234620
Action,2015,1579299
Comedy,2015,1102930
Drama,2015,2378479
Horror,2015,277812
Action,2016,1260809
Comedy,2016,595958
Drama,2016,428890
Horror,2016,146182